commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
0014f2c828dae5f9481a2bac68fe90a7857b2f59,1377995125,,,7,8,2,1,1,0.9967916319816366,true,1.0,175209.0,7.0,3.0,false,17.0,277757.0,26.0,3.0,122.0,425.0,449.0,122.0,398.0,422.0,89.0,257.0,275.0,0.2,0.5733333333333334,0.6133333333333333
005ff1100a11c83808471ece313d0f9001f4653c,1374603627,,,132,201,2,1,1,0.9090221560878148,true,7.0,784612.0,44.0,15.0,false,17.0,994879.5,35.0,3.0,3.0,812.0,815.0,3.0,778.0,781.0,0.0,673.0,673.0,0.0013297872340425534,0.8962765957446809,0.8962765957446809
0132be46bc9b4bb1b3bf77a623cc1d3b7e9307ea,1390969859,,,5,36,3,3,1,0.7750020439755892,true,2.0,172203.0,22.0,4.0,false,33.0,914923.6666666665,105.0,3.0,1127.0,1440.0,1440.0,942.0,1255.0,1255.0,983.0,989.0,989.0,0.7192982456140351,0.7236842105263158,0.7236842105263158
016e22469a3ca111a1562db6d04fae20febf2dbb,1377921672,,,19,3,3,3,2,0.8342022886441014,true,2.0,314380.0,13.0,4.0,false,18.0,72413.33333333331,34.0,2.0,125.0,352.0,427.0,118.0,334.0,402.0,67.0,347.0,364.0,0.10413476263399694,0.5329249617151608,0.55895865237366
0185d2445f6db7278ba3a02ace597717ccdbd6b3,1392832096,,,8,9,2,2,1,0.8739810481273578,true,3.0,1037118.0,35.0,10.0,false,200.0,300354.0,1118.0,4.0,56.0,3572.0,3581.0,55.0,2916.0,2925.0,51.0,2634.0,2640.0,0.007035583818157218,0.356514680016236,0.35732647814910024
01985dd44d1b29c7ad7cb0932a1d30f7b6fe1911,1343342751,1.0,,50,42,4,2,1,0.7998564381066102,true,1.0,58552.0,5.0,2.0,false,63.0,2886.0,277.0,2.0,262.0,561.0,719.0,262.0,561.0,719.0,230.0,451.0,594.0,0.11441307578008915,0.22387320455671125,0.29470034670629025
01b87a1ae18d3c5098163c2558da884c880c9749,1371484892,,,55,6,5,3,1,0.7423528612056296,true,11.0,1563805.0,54.0,15.0,false,123.0,6790.2,480.0,3.0,13.0,1949.0,1955.0,13.0,1702.0,1708.0,11.0,1844.0,1849.0,0.002452483139178418,0.3770692826486818,0.3780911506233395
01f24caba86c987b0109f743979a4e99e8afed11,1333410067,,,99,2,5,3,1,0.8296891273882001,true,1.0,91025.0,4.0,2.0,false,38.0,679589.6,86.0,2.0,1.0,538.0,539.0,1.0,538.0,539.0,0.0,519.0,519.0,0.0007917656373713379,0.4117181314330958,0.4117181314330958
01f58d68262aab1ac63683c9fac91b4da764aa92,1378828892,,,237,83,5,5,2,0.7338067534458429,true,3.0,766584.0,20.0,6.0,false,49.0,371916.6,205.0,2.0,155.0,382.0,501.0,122.0,361.0,448.0,153.0,377.0,494.0,0.2254758418740849,0.5534407027818448,0.7247437774524158
0252d0981af9daaf9370a50c28d8baf4a9d29619,1383917888,,,33,0,2,2,1,0.9940302114769564,true,11.0,6746154.0,76.0,36.0,false,159.0,301449.0,784.0,8.0,64.0,1294.0,1345.0,48.0,1120.0,1157.0,61.0,1237.0,1286.0,0.009478672985781993,0.1892676960709372,0.19675890536615195
