commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
00057454f6609871c2cabf874876d26a6d0d0641,1358516662,,,2,2,2,2,1,1.0,true,1.0,6495227.0,7.0,4.0,false,6.0,170682.0,7.0,2.0,12.0,354.0,366.0,10.0,354.0,364.0,0.0,259.0,259.0,0.003472222222222222,0.9027777777777778,0.9027777777777778
0007d255d9b20da4e5bbcdbaf5813104fbc092da,1358353428,,,9,6,1,1,1,0.0,true,1.0,1616714.0,15.0,10.0,false,4.0,7448.0,5.0,6.0,310.0,1343.0,1547.0,304.0,1251.0,1451.0,6.0,276.0,277.0,0.024734982332155483,0.978798586572438,0.9823321554770318
0014f2c828dae5f9481a2bac68fe90a7857b2f59,1377995125,,,7,8,2,1,1,0.9967916319816366,true,1.0,175209.0,7.0,3.0,false,17.0,277757.0,26.0,3.0,122.0,425.0,449.0,122.0,398.0,422.0,89.0,257.0,275.0,0.2,0.5733333333333334,0.6133333333333333
0043044f2e8ee3de8a9995bdbf51aad77f1a3fa9,1373357890,3.0,,580,283,8,5,1,0.8495018749170224,true,2.0,112913.0,12.0,4.0,false,5.0,280556.5,7.0,2.0,5.0,685.0,687.0,5.0,662.0,664.0,2.0,42.0,43.0,0.06,0.86,0.88
0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4,1380799475,0.0,,2,2,1,1,1,0.0,true,3.0,619709.0,16.0,9.0,false,6.0,311548.0,13.0,3.0,568.0,786.0,812.0,432.0,601.0,620.0,434.0,449.0,473.0,0.4447852760736196,0.4601226993865031,0.4846625766871165
00592cfa0b90c66682be2bc31428277c35a35c48,1331588951,,,2,2,2,1,1,1.0,true,1.0,3361.0,7.0,5.0,false,33.0,258411.5,104.0,3.0,75.0,628.0,673.0,75.0,628.0,673.0,71.0,595.0,636.0,0.06343612334801763,0.5251101321585903,0.5612334801762114
005b9950ac84bf3ae06c24ee018f192064060428,1367521170,,,3,2,1,1,1,0.0,true,3.0,1594747.0,15.0,7.0,false,4.0,6045967.0,10.0,3.0,16.0,874.0,886.0,16.0,684.0,696.0,15.0,836.0,847.0,0.003606040117196304,0.18864097363083165,0.1911201262114041
005ef0796270cb6238dc9863b468b0f1d7026e7c,1358916201,,,39,5,3,2,1,0.7639956284037258,true,10.0,2008805.0,61.0,21.0,false,17.0,991240.3333333335,32.0,3.0,5.0,1400.0,1404.0,5.0,1289.0,1293.0,5.0,1210.0,1214.0,0.0016451878256100905,0.3320537428023033,0.3331505346860433
005ff1100a11c83808471ece313d0f9001f4653c,1374603627,,,132,201,2,1,1,0.9090221560878148,true,7.0,784612.0,44.0,15.0,false,17.0,994879.5,35.0,3.0,3.0,812.0,815.0,3.0,778.0,781.0,0.0,673.0,673.0,0.0013297872340425534,0.8962765957446809,0.8962765957446809
0061c0ce4443395a258a99c70e1c1a7d0435e84e,1340028045,1.0,,462,1,4,3,1,0.5841583926475513,true,21.0,-32841526.0,82.0,30.0,false,2.0,50945.0,2.0,3.0,15.0,53.0,55.0,15.0,53.0,55.0,14.0,45.0,46.0,0.13274336283185842,0.4070796460176992,0.415929203539823
006a4e5e31a12d049c3d6308c3a2d73f57cd980f,1374767629,0.0,,15,3,2,2,1,0.9910760598382222,true,1.0,344624.0,8.0,4.0,false,31.0,1365650.0,77.0,4.0,157.0,1328.0,1457.0,88.0,1119.0,1191.0,36.0,250.0,283.0,0.041526374859708184,0.28170594837261503,0.3187429854096521
