commit_id,project,buggy,fix
000596f7c3074c7fbd490a47ac43be6229993941,apache/hbase,True,False
0007360c3344b3485fa17de0fd2015a628de947c,apache/hadoop-hdfs,True,False
000a67839666bf7cb39d3955757bb05fa95f1b18,apache/hadoop-hdfs,False,True
000a84cb4afce33e6d6601f65955f2de9924cf8a,apache/hbase,True,False
000e12f6fa114dfa45377df23acf552e66410838,apache/hadoop-mapreduce,True,False
000fd182c06181806ff71f4d3c7867dc84f59d8f,apache/hive,True,False
0011a3dc337a41ceb21b1567db7bdc3219a07552,apache/kafka,True,False
00175ae834083d657351007890069fcd81c22839,apache/hbase,True,False
001a58960311b07fe80e2f01e473f4987948d06e,apache/spark,True,False
001ab47fe54e143c806bc0deefff695d16057394,apache/hive,False,True
001c140071999021b9a66a095a1059128bbe690d,apache/hive,True,False
001ecf962cc93f4b880922b6eb03a5ca5d21f661,apache/hadoop-hdfs,False,True
0021fdce2642f2234d81a3eb36407cc738c53c37,apache/groovy,False,True
00241733a6d7761a4f6e64442319b11dd9d2b57b,apache/spark,True,False
00243ea430ece6fcf6d3d7b73f4b7605100aace2,apache/zeppelin,True,True
0025b9d25afb245c93c8d4d274daa0fba67d3ff8,apache/hive,False,True
0026e4eeec23367c74c44b23a9586562b939f6f8,apache/cassandra,True,False
00284fb8131ecb064a08a2da010d27ae95806744,apache/flink,True,False
002b377dad9c956cd0ae0597981f29698883b6d5,apache/kafka,True,False
002dd6968b89ded6a77858ccb50c9b2df074c226,apache/hadoop-mapreduce,True,False
002e9e8bdc2c842565a4e9bfc4e1dfb28c479bc5,apache/hbase,True,False
00374c3ddf6c4ecc96f58c6685fd107500b976cd,apache/kafka,True,False
0038c9d0773e90676b1ee2a8a94dcf764f023e22,apache/flink,True,False
00395a006468e2143daaa493a5920d18aeb98922,apache/hadoop-mapreduce,True,False
003ce18efc0249fae874e56c3df6acf19f5f2429,apache/flink,True,False
0045b86b78afdef1413ba1992faac8e824a0f7c2,apache/hbase,True,False
00461bb911c31aff9c945a14e23df2af4c280c23,apache/spark,True,False
004ae441a4cd79b9bd59ea8618931f08f32828e7,apache/hive,True,False
004e29cba518684d239d2d1661dce7c894a79f14,apache/spark,True,False
004eb007ca6fa1a68a25cd55ff8fcc9161b5a339,apache/flink,True,False
004f0abb461cc3ef704824568256bab84b1aa8e7,apache/hbase,True,False
004f57374b98c4df32d9f1e19221f68e92639a49,apache/spark,True,False
00554e90b84074139060ccf2c32fa3130211136b,apache/cassandra,True,False
00569147730fbf9bba6e3b0b38bec302af6046fe,apache/hadoop-mapreduce,True,False
0057dcb78313be28ae16b7e84c873191471dceee,apache/zookeeper,True,False
0058d3f896f159a2d809eed91fb338209b2c06a4,apache/ignite,True,False
0058eadbd3149a5dee1ffc69c2d9f21caa916fb5,apache/hadoop-hdfs,False,True
005b2c9a78a357d76d9396b379825d3c033dfac7,apache/camel,True,False
00645436616ccdc96be9810904fa6b4476a53925,apache/mesos,True,False
006630fd93d8efb823e5b5f7d61584138df984a6,apache/kafka,True,False
0068b95c854d13e359b619aaa9879b5cbb993729,apache/hbase,False,True
006906db591666a7111066afd226325452be2e3e,apache/spark,False,True
006e798e477b6871ad3ba4417d354d23f45e4013,apache/spark,False,True
006ede12098bfbc71a1e4ab437df0e91bc1c8ead,apache/groovy,True,False
00706331785051073aa1e95346cdea09363ab2a4,apache/hive,True,False
00742ffdb4cc349ef3ee99dced9e08e2b5a404f6,apache/zeppelin,True,False
00748405bc374ee8f5ade4891a6a1445df072344,apache/cassandra,True,False
0074d64915fbff95794ed81263f15d0116b4e8d3,apache/cassandra,True,False
007536169be09b0ae7cd0d2921f507958fff78cb,apache/flink,True,False
00759257a2d69608040ba4f074d7dc9c45dbb964,apache/flink,True,False
007707674e32b4123708e267feec04075a1b4663,apache/ignite,True,False
0077c822f719ea1d90350503f3d10a274631aebd,apache/hbase,False,True
007877d9b5414ddd08ac34444a30c9712bf5754c,apache/groovy,False,True
007a733434aa39cdb137ab9795434ae2af70fe0b,apache/spark,True,False
