commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
0014f2c828dae5f9481a2bac68fe90a7857b2f59,1377995125,,,7,8,2,1,1,0.9967916319816366,true,1.0,175209.0,7.0,3.0,false,17.0,277757.0,26.0,3.0,122.0,425.0,449.0,122.0,398.0,422.0,89.0,257.0,275.0,0.2,0.5733333333333334,0.6133333333333333
001961ed495a33cc944407888a2797f8a600e091,1367268702,,,6,0,1,1,1,0.0,true,6.0,250793.0,28.0,15.0,false,31.0,4262413.0,69.0,6.0,1062.0,2259.0,2903.0,1026.0,1932.0,2559.0,958.0,1922.0,2506.0,0.21711568938193346,0.43536336880235454,0.5675798052977133
0038e3818393415fc9628aef2747136a626682ee,1341252518,,,23,17,3,3,1,0.1806963615767856,true,5.0,318441.0,30.0,19.0,false,69.0,283118.33333333326,234.0,4.0,44.0,622.0,622.0,44.0,622.0,622.0,27.0,536.0,536.0,0.01567749160134379,0.30067189249720044,0.30067189249720044
0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4,1380799475,0.0,,2,2,1,1,1,0.0,true,3.0,619709.0,16.0,9.0,false,6.0,311548.0,13.0,3.0,568.0,786.0,812.0,432.0,601.0,620.0,434.0,449.0,473.0,0.4447852760736196,0.4601226993865031,0.4846625766871165
00592cfa0b90c66682be2bc31428277c35a35c48,1331588951,,,2,2,2,1,1,1.0,true,1.0,3361.0,7.0,5.0,false,33.0,258411.5,104.0,3.0,75.0,628.0,673.0,75.0,628.0,673.0,71.0,595.0,636.0,0.06343612334801763,0.5251101321585903,0.5612334801762114
005b9950ac84bf3ae06c24ee018f192064060428,1367521170,,,3,2,1,1,1,0.0,true,3.0,1594747.0,15.0,7.0,false,4.0,6045967.0,10.0,3.0,16.0,874.0,886.0,16.0,684.0,696.0,15.0,836.0,847.0,0.003606040117196304,0.18864097363083165,0.1911201262114041
005ef0796270cb6238dc9863b468b0f1d7026e7c,1358916201,,,39,5,3,2,1,0.7639956284037258,true,10.0,2008805.0,61.0,21.0,false,17.0,991240.3333333335,32.0,3.0,5.0,1400.0,1404.0,5.0,1289.0,1293.0,5.0,1210.0,1214.0,0.0016451878256100905,0.3320537428023033,0.3331505346860433
005ff1100a11c83808471ece313d0f9001f4653c,1374603627,,,132,201,2,1,1,0.9090221560878148,true,7.0,784612.0,44.0,15.0,false,17.0,994879.5,35.0,3.0,3.0,812.0,815.0,3.0,778.0,781.0,0.0,673.0,673.0,0.0013297872340425534,0.8962765957446809,0.8962765957446809
0061c0ce4443395a258a99c70e1c1a7d0435e84e,1340028045,1.0,,462,1,4,3,1,0.5841583926475513,true,21.0,-32841526.0,82.0,30.0,false,2.0,50945.0,2.0,3.0,15.0,53.0,55.0,15.0,53.0,55.0,14.0,45.0,46.0,0.13274336283185842,0.4070796460176992,0.415929203539823
006254c5050176c9b569007f6ef7203e6067215d,1344016566,,,15,3,1,1,1,0.0,true,3.0,291966.0,20.0,4.0,false,12.0,185436.0,24.0,2.0,799.0,880.0,880.0,797.0,878.0,878.0,304.0,346.0,346.0,0.7076566125290024,0.8051044083526682,0.8051044083526682
006a4e5e31a12d049c3d6308c3a2d73f57cd980f,1374767629,0.0,,15,3,2,2,1,0.9910760598382222,true,1.0,344624.0,8.0,4.0,false,31.0,1365650.0,77.0,4.0,157.0,1328.0,1457.0,88.0,1119.0,1191.0,36.0,250.0,283.0,0.041526374859708184,0.28170594837261503,0.3187429854096521
006d673d24778abe6c47e3ee7e1a19e163912440,1367348740,,,15,12,1,1,1,0.0,true,2.0,253419.0,13.0,5.0,false,4.0,4646786.0,5.0,4.0,572.0,607.0,607.0,569.0,603.0,603.0,453.0,477.0,477.0,0.9190283400809716,0.9676113360323888,0.9676113360323888
006fea117307460544492a3548203a9ef31f34ba,1326777632,,,14,24,3,3,1,0.9491574737790924,true,1.0,47765.0,5.0,3.0,false,19.0,248387.33333333328,37.0,3.0,1.0,158.0,158.0,1.0,158.0,158.0,1.0,152.0,152.0,0.0036496350364963507,0.2791970802919708,0.2791970802919708
007a1856dd8b5a781a3abe312a023344995162d6,1347632012,,,12,6,1,1,1,0.0,true,3.0,532526.0,19.0,5.0,false,37.0,22610.0,74.0,2.0,0.0,1014.0,1014.0,0.0,1011.0,1011.0,0.0,827.0,827.0,0.0003979307600477517,0.3294866693195384,0.3294866693195384
0096ce10390af7a6a2fa3501c55cfbe447eb9ba8,1363684417,,,44,4,2,2,1,0.5993142373098092,true,3.0,-9297515.0,19.0,10.0,false,3.0,496045.0,5.0,3.0,331.0,609.0,613.0,330.0,574.0,578.0,303.0,522.0,526.0,0.3580683156654888,0.6160188457008245,0.6207302709069493
0098f12e8b1f035c7ecdb952cfcd4bbae86b6246,1367845613,,,1,0,1,1,1,0.0,true,1.0,649652.0,7.0,4.0,false,78.0,53300.0,239.0,5.0,1738.0,2204.0,3314.0,1443.0,1980.0,2876.0,1629.0,1836.0,2858.0,0.3658810325476992,0.4123456790123457,0.6417508417508417
00a4f63f373af0b87c9c4ba8671720bb8324c80a,1339674144,,,2,3,1,1,1,0.0,true,1.0,-33217270.0,8.0,4.0,false,4.0,553804.0,4.0,3.0,17.0,64.0,68.0,17.0,62.0,66.0,16.0,50.0,53.0,0.16346153846153846,0.4903846153846154,0.5192307692307693
00ac2c725097567ab090079db799e70a6f549794,1325089072,,,2,2,1,1,1,0.0,true,2.0,1178310.0,5.0,2.0,false,2.0,1738681.0,1.0,4.0,127.0,335.0,335.0,127.0,335.0,335.0,25.0,103.0,103.0,0.2280701754385965,0.912280701754386,0.912280701754386
00aced0ec5ad9520614ba1846d061f9605ace758,1360611514,,,38,3,3,3,1,0.8715990960054906,true,10.0,255353.0,42.0,9.0,false,72.0,3059808.666666666,183.0,4.0,136.0,984.0,1056.0,136.0,965.0,1037.0,134.0,904.0,975.0,0.035294117647058816,0.2366013071895425,0.2551633986928105
00c3fde8f841ae20810a8dc86d57f6231f2eba43,1351806741,,,5,2,2,2,2,0.8631205685666309,true,4.0,660368.0,17.0,9.0,false,8.0,1126884.0,11.0,2.0,0.0,93.0,93.0,0.0,93.0,93.0,0.0,90.0,90.0,0.0038314176245210726,0.3486590038314176,0.3486590038314176
00c77e0e9af6ae16484e4bee5f33de1eeb812227,1329158817,,,24,18,2,2,1,0.5266170655714281,true,2.0,278570.0,9.0,4.0,false,28.0,236682.0,61.0,3.0,14.0,644.0,649.0,14.0,643.0,648.0,14.0,532.0,537.0,0.018094089264173704,0.6429433051869723,0.6489746682750301
00d65fa8bf83c2e9e5937108cbbf096918bbd23f,1343179910,,,11,6,1,1,1,0.0,true,4.0,57411.0,17.0,7.0,false,1.0,1229338.0,2.0,3.0,66.0,723.0,759.0,66.0,723.0,759.0,32.0,514.0,535.0,0.0167427701674277,0.2612886859462202,0.2719431760527651
00f66513690153125713fa4c48907387d8321b4a,1360076041,,,26,3,3,3,1,0.7101828628164149,true,2.0,139953.0,9.0,2.0,false,76.0,18826.0,239.0,2.0,265.0,1512.0,1692.0,244.0,1343.0,1507.0,228.0,1308.0,1458.0,0.06083953241232731,0.3477683315621679,0.3876195536663125
00f9d718d2d746ca8664290b79c852bb91fca1cc,1377899815,,,9,9,3,3,1,0.9057125980138372,true,6.0,865728.0,38.0,14.0,false,34.0,6449.0,127.0,3.0,53.0,360.0,412.0,53.0,342.0,394.0,2.0,295.0,296.0,0.005235602094240838,0.5165794066317626,0.518324607329843
00ff9367f25d34ea43aceb40a6146d8d53e5c06f,1379572499,,,10,2,2,2,1,0.9798687566511528,true,9.0,17524287.0,54.0,19.0,false,23.0,241535.0,46.0,2.0,8.0,303.0,307.0,8.0,230.0,234.0,5.0,170.0,171.0,0.00625,0.178125,0.17916666666666667
010bd1f392e67a6fcd276593b8c79acfe41d1cc7,1378720692,3.0,,111,16,2,2,1,0.9762101424373009,true,12.0,17838304.0,77.0,37.0,false,5.0,1058616.5,6.0,5.0,97.0,1220.0,1223.0,66.0,1097.0,1100.0,7.0,273.0,273.0,0.026578073089701,0.9102990033222592,0.9102990033222592
010f130acee3e5253a0c687aaf6ee8849e099982,1374776455,,,1,1,1,1,1,0.0,true,5.0,360122.0,22.0,10.0,false,31.0,166328.0,70.0,2.0,17.0,2098.0,2115.0,17.0,1703.0,1720.0,2.0,1860.0,1862.0,0.0005562766549230484,0.34507695160393104,0.34544780270721304
01194b356e39e3b0affca67015efb7634bf28697,1380128821,,,15,0,2,2,1,0.8366407419411672,true,4.0,1385738.0,20.0,7.0,false,8.0,694280.0,9.0,3.0,207.0,995.0,995.0,149.0,882.0,882.0,6.0,293.0,293.0,0.01827676240208877,0.7676240208877284,0.7676240208877284
011d99f300ea5d5f4ce48023bd04a795a4872287,1369792347,3.0,1.0,87,47,2,2,1,0.9635359835770289,true,35.0,24155803.0,286.0,97.0,false,1.0,2387698.5,1.0,13.0,1.0,746.0,746.0,1.0,737.0,737.0,0.0,10.0,10.0,0.08333333333333333,0.9166666666666666,0.9166666666666666
0132be46bc9b4bb1b3bf77a623cc1d3b7e9307ea,1390969859,,,5,36,3,3,1,0.7750020439755892,true,2.0,172203.0,22.0,4.0,false,33.0,914923.6666666665,105.0,3.0,1127.0,1440.0,1440.0,942.0,1255.0,1255.0,983.0,989.0,989.0,0.7192982456140351,0.7236842105263158,0.7236842105263158
013e3b2b1bd8c82a05062bce186d240ffd42bd42,1386798761,,,39,39,4,4,1,0.8211857243719511,true,1.0,2987055.0,8.0,5.0,false,199.0,49.0,704.0,5.0,74.0,3508.0,3571.0,74.0,2739.0,2802.0,20.0,2457.0,2469.0,0.0030728709394205445,0.3596722270997951,0.3614281533508926
014f67a2769720f4833bba74343cedf0e894151c,1328049743,,,1,1,1,1,1,0.0,true,2.0,82591.0,9.0,4.0,false,32.0,10451.0,42.0,3.0,28.0,352.0,366.0,28.0,352.0,366.0,20.0,273.0,282.0,0.03056768558951965,0.3988355167394469,0.4119359534206696
015555acb75ee4d9298915951d2bfaf0d19d2b02,1386147080,2.0,1.0,498,219,4,2,1,0.4717210315549514,true,52.0,4688621.0,249.0,50.0,false,8.0,480479.25,18.0,2.0,52.0,441.0,481.0,48.0,440.0,476.0,45.0,414.0,450.0,0.03770491803278689,0.3401639344262295,0.36967213114754105
015f2a2f2ec2d0d2d92273c0958aa918d38c5086,1360569616,,,36,30,3,3,1,0.549555077414464,true,1.0,78339.0,5.0,2.0,false,4.0,41132.0,11.0,2.0,100.0,412.0,419.0,100.0,410.0,417.0,92.0,310.0,316.0,0.2735294117647059,0.9147058823529411,0.9323529411764706
