commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
00057454f6609871c2cabf874876d26a6d0d0641,1358516662,,,2,2,2,2,1,1.0,true,1.0,6495227.0,7.0,4.0,false,6.0,170682.0,7.0,2.0,12.0,354.0,366.0,10.0,354.0,364.0,0.0,259.0,259.0,0.003472222222222222,0.9027777777777778,0.9027777777777778
0007d255d9b20da4e5bbcdbaf5813104fbc092da,1358353428,,,9,6,1,1,1,0.0,true,1.0,1616714.0,15.0,10.0,false,4.0,7448.0,5.0,6.0,310.0,1343.0,1547.0,304.0,1251.0,1451.0,6.0,276.0,277.0,0.024734982332155483,0.978798586572438,0.9823321554770318
001d36c97eac77410f7dd32290d2142abfb19fa0,1392721937,0.0,,12,6,2,2,1,0.3095434291503252,true,1.0,130927.0,14.0,5.0,false,156.0,114295.0,478.0,4.0,1298.0,1541.0,2599.0,834.0,1211.0,1873.0,1087.0,1361.0,2241.0,0.14754542988879848,0.18470301057770544,0.3040412259289395
008c3836c95a0183b3e6397a69f1420b0e55ec99,1371785339,,,14,14,3,3,1,0.7480405137541007,true,3.0,1669221.0,26.0,9.0,false,27.0,67022.33333333331,54.0,1.0,153.0,572.0,700.0,153.0,525.0,653.0,150.0,520.0,646.0,0.03041289023162135,0.10493454179254784,0.13031218529707955
0094303e36cf1c01db539a1eea7771ebcb4d336a,1346864368,,,145,112,2,1,1,0.9880736957984806,true,1.0,5641.0,5.0,2.0,false,4.0,5431534.5,10.0,2.0,338.0,167.0,486.0,337.0,167.0,485.0,3.0,1.0,4.0,0.03636363636363636,0.01818181818181818,0.045454545454545456
00cc32ccf6847ef649fbb9c1905f823c91903f44,1367947330,,,1,1,1,1,1,0.0,true,3.0,92514.0,13.0,5.0,false,10.0,333088.0,19.0,2.0,204.0,119.0,304.0,156.0,119.0,256.0,92.0,90.0,164.0,0.11712846347607052,0.11460957178841308,0.20780856423173805
00cebe1d57c7cfadc6017a65febd6188630b2456,1374560738,,,20,16,2,2,1,0.9910760598382222,true,1.0,648700.0,6.0,2.0,false,5.0,1392878.5,8.0,2.0,133.0,353.0,449.0,133.0,347.0,443.0,45.0,343.0,351.0,0.008586895650550682,0.06421504573455293,0.06570841889117042
00dd97c7e9a852f4abd6e8460a0d094c01d3d0ba,1347205765,1.0,,103,56,5,4,1,0.5744830134591838,true,3.0,-25781966.0,21.0,7.0,false,21.0,298129.8,69.0,2.0,42.0,217.0,231.0,42.0,217.0,231.0,40.0,209.0,222.0,0.128125,0.65625,0.696875
010fe685e50a3680d8c8b9b6602677df90e815b3,1379327003,,,170,26,4,2,1,0.9379042149109412,true,11.0,1217297.0,58.0,16.0,false,3.0,1034078.25,5.0,4.0,4.0,626.0,628.0,4.0,607.0,609.0,2.0,567.0,567.0,0.003009027081243731,0.5697091273821464,0.5697091273821464
0158304b1dccf56a98194948a8b8bb803c117a44,1363701979,,,62,0,1,1,1,0.0,false,,,,,true,,,,,,,,,,,,,,,,
01f2f46d64bb81256cb06a8e8a091e6f5fabedc8,1374148019,,,28,6,3,2,1,0.4701799909001371,true,12.0,5542512.0,56.0,17.0,false,73.0,1229274.666666667,262.0,3.0,137.0,561.0,649.0,131.0,552.0,634.0,130.0,543.0,627.0,0.024614806463735442,0.102217211574596,0.11800075159714392
