,commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr,churn,buggy,fix,bugdens,strata
95,0b7e565f0d1a9bfc6551ddf9bd339dbdad5669e7,1398199531,7.0,0.0,678,72,16,10,1,0.751254321074415,false,,,,,40,553249.75,88,,0,,,0,,,0,,,0.000855431993156544,0.41830624465355,0.41830624465355,750,TRUE,FALSE,0.009333333333333334,0
248,1caa51ea68ba9844ed6e48b3714b742c9096c0af,1396293543,6.0,0.0,736,39,13,10,1,0.634474198914582,false,,,,,35,256205.538461539,85,,2,,,2,,,2,,,0.00284090909090909,0.226325757575758,0.227272727272727,775,TRUE,FALSE,0.007741935483870968,0
702,5061ab9586d657a0b7af83e598914702306a5457,1399912138,5.0,0.0,986,960,94,36,1,0.849329563824632,false,,,,,197,724262.319148936,972,,18,,,10,,,0,,,0.000619578686493185,0.0371747211895911,0.0371747211895911,1946,TRUE,FALSE,0.0025693730729701952,0
2172,f64eacfd27220c180f6afc979087b35aa1385550,1394167871,5.0,1.0,302,73,9,2,1,0.60479079676784,false,,,,,11,2265286.44444444,30,,37,,,37,,,29,,,0.0325732899022801,0.720955483170467,0.724212812160695,375,TRUE,TRUE,0.013333333333333334,0
43,073aa8104c30f61e5366cef5be644e3bc325c626,1406073506,3.0,0.0,907,98,3,3,1,0.669076002790074,false,,,,,36,6443560,64,,0,,,0,,,0,,,0.000805152979066022,0.514492753623188,0.514492753623188,1005,TRUE,FALSE,0.0029850746268656717,0
238,1ba129e6a3898d1ea7e513304306aa6c0756f7b1,1392752603,3.0,0.0,513,516,111,28,2,0.641883957168623,false,,,,,30,86599.226519337,161,,271,,,250,,,204,,,0.247883917775091,0.535671100362757,0.535671100362757,1029,TRUE,FALSE,0.0029154518950437317,0
380,2a2d566be3d69295f56d2db5b6004f12d0ec5b9f,1393897340,3.0,1.0,349,349,46,30,1,0.909540085592152,false,,,,,71,511667.913043478,210,,691,,,593,,,221,,,0.248322147651007,0.731543624161074,0.832214765100671,698,TRUE,TRUE,0.004297994269340974,0
1467,a9e763914d0c160ec54dfec8d0958331153daa23,1365048623,3.0,0.0,148,318,110,53,2,0.909359780216973,false,,,,,90,172091.854545455,624,,75,,,61,,,41,,,0.0471380471380471,0.777777777777778,0.792368125701459,466,TRUE,FALSE,0.006437768240343348,0
1529,b1677dcb80ce8b83aadb2180efad3527a96bd3bc,1394589275,3.0,0.0,242,133,12,5,1,0.605636847753508,false,,,,,31,210969.583333333,62,,161,,,121,,,77,,,0.0824524312896406,0.421775898520085,0.421775898520085,375,TRUE,FALSE,0.008,0
1755,caf7ecaef75f4d9eba0d85db8917be5a9118792d,1394218216,3.0,1.0,21,1,2,2,1,0.439496986921513,false,,,,,1,532,8,,40,,,40,,,32,,,0.0355603448275862,0.720905172413793,0.724137931034483,22,TRUE,TRUE,0.13636363636363635,0
88,0a717d7085bd2bca7e5408a5c20e8ae7cd055756,1395429060,2.0,0.0,156,147,3,2,1,0.976566125077291,false,,,,,211,285441,1172,,1118,,,740,,,1092,,,0.142782495101241,0.245721750489876,0.357021554539517,303,TRUE,FALSE,0.006600660066006601,0
140,10dcf874ac16e410993d9d929a89bb07305f46da,1394233311,2.0,0.0,388,258,7,6,1,0.817444818185644,false,,,,,75,239646.857142857,227,,3,,,3,,,2,,,0.00198281559814937,0.738929279576999,0.738929279576999,646,TRUE,FALSE,0.0030959752321981426,0
227,1a91aacb85922f8d74733979691f0bf26249debc,1375451056,2.0,0.0,1142,5293,113,30,1,0.773155721727813,false,,,,,306,66040.0176991151,2341,,1032,,,801,,,829,,,0.151156437807321,0.325805864141322,0.426151884902568,6435,TRUE,FALSE,3.108003108003108E-4,0
258,1e210c7cc9d3d8dd6b3a72112dd8395cad4dc3a9,1395393970,2.0,0.0,67,46,1,1,1,0,false,,,,,13,907124,27,,16,,,16,,,16,,,0.0167322834645669,0.262795275590551,0.264763779527559,113,TRUE,FALSE,0.017699115044247787,0
363,2864f97922502987bd00347f9468ef7a5bce7717,1393874957,2.0,0.0,3,1,2,1,1,0.811278124459133,false,,,,,6,1706027,6,,4,,,4,,,4,,,0.00562429696287964,0.256467941507312,0.258717660292463,4,TRUE,FALSE,0.5,0
392,2c1701e2f50feb5fa25ea6fb1b620f39346779de,1394135553,2.0,0.0,42,15,2,2,1,0.949452015387948,false,,,,,18,175534,76,,217,,,208,,,207,,,0.138389886892881,0.664670658682635,0.702594810379242,57,TRUE,FALSE,0.03508771929824561,0
405,2d37076d610a4b6095a3f23dd66e5b192fae6960,1393958827,2.0,0.0,179,5,5,5,1,0.578582873026437,false,,,,,14,2888256.2,18,,694,,,596,,,223,,,0.24916573971079,0.838709677419355,0.838709677419355,184,TRUE,FALSE,0.010869565217391304,0
528,3bbdc70d4e1d0a8c960d7d0a7634f10b4b3163fe,1394853241,2.0,1.0,40,4,2,2,1,0.811278124459133,false,,,,,7,190513,11,,69,,,69,,,62,,,0.0527196652719665,0.246861924686193,0.249372384937239,44,TRUE,TRUE,0.045454545454545456,0
764,5730d87c26c1e5022497a5921bf392f8f98b4011,1401107286,2.0,0.0,803,11,12,8,1,0.562360798631251,false,,,,,22,1485842.16666667,33,,81,,,79,,,74,,,0.0607287449392713,0.774089068825911,0.787854251012146,814,TRUE,FALSE,0.002457002457002457,0
980,706971bdf25b28cc1d572efe278cebec88506f29,1394205406,2.0,0.0,54,57,2,2,1,0.974024864435752,false,,,,,206,35004,1151,,355,,,341,,,351,,,0.0466967365348899,0.45860971079862,0.471477845582383,111,TRUE,FALSE,0.018018018018018018,0
1027,75be9df987ae43684b5452d2f0139db2e6acafdd,1396895758,2.0,0.0,40,6,3,3,1,0.751818188759128,false,,,,,39,610451,71,,28,,,25,,,18,,,0.0172101449275362,0.0389492753623188,0.052536231884058,46,TRUE,FALSE,0.043478260869565216,0
1091,7db44edd3c5ad4aea508c3cc74a8b0b8d785c26b,1398268898,2.0,0.0,11,0,1,1,1,0,false,,,,,4,1485151,4,,0,,,0,,,0,,,0.000854700854700855,0.471794871794872,0.471794871794872,11,TRUE,FALSE,0.18181818181818182,0
