Unnamed: 0,commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr,churn,buggy,fix,bugdens,strata,project
95,0b7e565f0d1a9bfc6551ddf9bd339dbdad5669e7,1398199531,7.0,0.0,678,72,16,10,1,0.751254321074415,false,,,,,40,553249.75,88,,0,,,0,,,0,,,0.000855431993156544,0.41830624465355004,0.41830624465355004,750,TRUE,FALSE,0.009333333333333334,0,openstack/neutron
248,1caa51ea68ba9844ed6e48b3714b742c9096c0af,1396293543,6.0,0.0,736,39,13,10,1,0.634474198914582,false,,,,,35,256205.538461539,85,,2,,,2,,,2,,,0.0028409090909090897,0.22632575757575799,0.22727272727272702,775,TRUE,FALSE,0.007741935483870969,0,openstack/neutron
702,5061ab9586d657a0b7af83e598914702306a5457,1399912138,5.0,0.0,986,960,94,36,1,0.849329563824632,false,,,,,197,724262.319148936,972,,18,,,10,,,0,,,0.000619578686493185,0.0371747211895911,0.0371747211895911,1946,TRUE,FALSE,0.002569373072970195,0,openstack/cinder
2172,f64eacfd27220c180f6afc979087b35aa1385550,1394167871,5.0,1.0,302,73,9,2,1,0.60479079676784,false,,,,,11,2265286.44444444,30,,37,,,37,,,29,,,0.0325732899022801,0.720955483170467,0.7242128121606949,375,TRUE,TRUE,0.013333333333333334,0,openstack/neutron
43,073aa8104c30f61e5366cef5be644e3bc325c626,1406073506,3.0,0.0,907,98,3,3,1,0.669076002790074,false,,,,,36,6443560.0,64,,0,,,0,,,0,,,0.000805152979066022,0.514492753623188,0.514492753623188,1005,TRUE,FALSE,0.0029850746268656717,0,openstack/neutron
238,1ba129e6a3898d1ea7e513304306aa6c0756f7b1,1392752603,3.0,0.0,513,516,111,28,2,0.6418839571686229,false,,,,,30,86599.226519337,161,,271,,,250,,,204,,,0.247883917775091,0.535671100362757,0.535671100362757,1029,TRUE,FALSE,0.002915451895043732,0,openstack/neutron
380,2a2d566be3d69295f56d2db5b6004f12d0ec5b9f,1393897340,3.0,1.0,349,349,46,30,1,0.909540085592152,false,,,,,71,511667.913043478,210,,691,,,593,,,221,,,0.248322147651007,0.7315436241610742,0.8322147651006709,698,TRUE,TRUE,0.004297994269340974,0,openstack/neutron
1467,a9e763914d0c160ec54dfec8d0958331153daa23,1365048623,3.0,0.0,148,318,110,53,2,0.909359780216973,false,,,,,90,172091.854545455,624,,75,,,61,,,41,,,0.0471380471380471,0.7777777777777779,0.7923681257014591,466,TRUE,FALSE,0.006437768240343348,0,openstack/neutron
1529,b1677dcb80ce8b83aadb2180efad3527a96bd3bc,1394589275,3.0,0.0,242,133,12,5,1,0.6056368477535079,false,,,,,31,210969.583333333,62,,161,,,121,,,77,,,0.0824524312896406,0.421775898520085,0.421775898520085,375,TRUE,FALSE,0.008,0,openstack/neutron
1755,caf7ecaef75f4d9eba0d85db8917be5a9118792d,1394218216,3.0,1.0,21,1,2,2,1,0.43949698692151296,false,,,,,1,532.0,8,,40,,,40,,,32,,,0.0355603448275862,0.7209051724137929,0.7241379310344829,22,TRUE,TRUE,0.13636363636363635,0,openstack/neutron
