Unnamed: 0,X,commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr,churn,buggy,fix,bugdens,strata,project
6,6,00057454f6609871c2cabf874876d26a6d0d0641,1358516662,0,0,2,2,2,2,1,1.0,TRUE,1.0,6495227.0,4.0,False,6,170682.0,7,2.0,12,354.0,366.0,10,354.0,364.0,0,259.0,259.0,0.00347222222222222,0.902777777777778,0.902777777777778,4,FALSE,FALSE,0.0,4,openstack/cinder
9,9,0007d255d9b20da4e5bbcdbaf5813104fbc092da,1358353428,0,0,9,6,1,1,1,0.0,TRUE,1.0,1616714.0,10.0,False,4,7448.0,5,6.0,310,1343.0,1547.0,304,1251.0,1451.0,6,276.0,277.0,0.0247349823321555,0.978798586572438,0.982332155477032,15,FALSE,FALSE,0.0,4,openstack/cinder
11,11,0014f2c828dae5f9481a2bac68fe90a7857b2f59,1377995125,0,0,7,8,2,1,1,0.996791631981637,TRUE,1.0,175209.0,3.0,False,17,277757.0,26,3.0,122,425.0,449.0,122,398.0,422.0,89,257.0,275.0,0.2,0.573333333333333,0.613333333333333,15,FALSE,FALSE,0.0,7,openstack/swift
14,14,001961ed495a33cc944407888a2797f8a600e091,1367268702,0,0,6,0,1,1,1,0.0,TRUE,6.0,250793.0,15.0,False,31,4262413.0,69,6.0,1062,2259.0,2903.0,1026,1932.0,2559.0,958,1922.0,2506.0,0.217115689381933,0.435363368802355,0.567579805297713,6,FALSE,FALSE,0.0,5,openstack/nova
15,15,001d36c97eac77410f7dd32290d2142abfb19fa0,1392721937,1,0,12,6,2,2,1,0.309543429150325,TRUE,1.0,130927.0,5.0,False,156,114295.0,478,4.0,1298,1541.0,2599.0,834,1211.0,1873.0,1087,1361.0,2241.0,0.147545429888798,0.18470301057770494,0.30404122592894,18,TRUE,FALSE,0.0555555555555556,8,openstack/nova
23,23,0038e3818393415fc9628aef2747136a626682ee,1341252518,0,0,23,17,3,3,1,0.180696361576786,TRUE,5.0,318441.0,19.0,False,69,283118.333333333,234,4.0,44,622.0,622.0,44,622.0,622.0,27,536.0,536.0,0.0156774916013438,0.3006718924972,0.3006718924972,40,FALSE,FALSE,0.0,2,openstack/nova
24,24,0043044f2e8ee3de8a9995bdbf51aad77f1a3fa9,1373357890,4,0,580,283,5,5,1,0.849501874917022,TRUE,2.0,112913.0,4.0,False,5,280556.5,7,2.0,5,685.0,687.0,5,662.0,664.0,2,42.0,43.0,0.06,0.86,0.88,863,TRUE,FALSE,0.0046349942062572395,6,openstack/neutron
29,29,0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4,1380799475,1,0,2,2,1,1,1,0.0,TRUE,3.0,619709.0,9.0,False,6,311548.0,13,3.0,568,786.0,812.0,432,601.0,620.0,434,449.0,473.0,0.44478527607362,0.460122699386503,0.484662576687117,4,TRUE,FALSE,0.25,7,openstack/glance
31,31,00592cfa0b90c66682be2bc31428277c35a35c48,1331588951,0,0,2,2,2,1,1,1.0,TRUE,1.0,3361.0,5.0,False,33,258411.5,104,3.0,75,628.0,673.0,75,628.0,673.0,71,595.0,636.0,0.0634361233480176,0.52511013215859,0.5612334801762111,4,FALSE,FALSE,0.0,1,openstack/nova
33,33,005b9950ac84bf3ae06c24ee018f192064060428,1367521170,0,0,3,2,1,1,1,0.0,TRUE,3.0,1594747.0,7.0,False,4,6045967.0,10,3.0,16,874.0,886.0,16,684.0,696.0,15,836.0,847.0,0.0036060401171963,0.188640973630832,0.191120126211404,5,FALSE,FALSE,0.0,5,openstack/nova
34,34,005ef0796270cb6238dc9863b468b0f1d7026e7c,1358916201,0,0,39,5,3,2,1,0.7639956284037259,TRUE,10.0,2008805.0,21.0,False,17,991240.333333333,32,3.0,5,1400.0,1404.0,5,1289.0,1293.0,5,1210.0,1214.0,0.00164518782561009,0.332053742802303,0.33315053468604305,44,FALSE,FALSE,0.0,4,openstack/nova
35,35,005ff1100a11c83808471ece313d0f9001f4653c,1374603627,0,0,132,201,2,1,1,0.9090221560878148,TRUE,7.0,784612.0,15.0,False,17,994879.5,35,3.0,3,812.0,815.0,3,778.0,781.0,0,673.0,673.0,0.00132978723404255,0.8962765957446809,0.8962765957446809,333,FALSE,FALSE,0.0,6,openstack/cinder
36,36,0061c0ce4443395a258a99c70e1c1a7d0435e84e,1340028045,1,0,462,1,1,3,1,0.584158392647551,TRUE,21.0,-32841526.0,30.0,False,2,50945.0,2,3.0,15,53.0,55.0,15,53.0,55.0,14,45.0,46.0,0.132743362831858,0.40707964601769897,0.415929203539823,463,TRUE,FALSE,0.00215982721382289,2,openstack/neutron
37,37,006254c5050176c9b569007f6ef7203e6067215d,1344016566,0,0,15,3,1,1,1,0.0,TRUE,3.0,291966.0,4.0,False,12,185436.0,24,2.0,799,880.0,880.0,797,878.0,878.0,304,346.0,346.0,0.7076566125290021,0.8051044083526679,0.8051044083526679,18,FALSE,FALSE,0.0,2,openstack/glance
43,43,006a4e5e31a12d049c3d6308c3a2d73f57cd980f,1374767629,1,0,15,3,2,2,1,0.991076059838222,TRUE,1.0,344624.0,4.0,False,31,1365650.0,77,4.0,157,1328.0,1457.0,88,1119.0,1191.0,36,250.0,283.0,0.0415263748597082,0.281705948372615,0.318742985409652,18,TRUE,FALSE,0.0555555555555556,6,openstack/glance
44,44,006d673d24778abe6c47e3ee7e1a19e163912440,1367348740,0,0,15,12,1,1,1,0.0,TRUE,2.0,253419.0,5.0,False,4,4646786.0,5,4.0,572,607.0,607.0,569,603.0,603.0,453,477.0,477.0,0.919028340080972,0.9676113360323892,0.9676113360323892,27,FALSE,FALSE,0.0,5,openstack/cinder
45,45,006fea117307460544492a3548203a9ef31f34ba,1326777632,0,0,14,24,3,3,1,0.949157473779092,TRUE,1.0,47765.0,3.0,False,19,248387.333333333,37,3.0,1,158.0,158.0,1,158.0,158.0,1,152.0,152.0,0.00364963503649635,0.279197080291971,0.279197080291971,38,FALSE,FALSE,0.0,0,openstack/nova
