commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
001f865c3cd5f55ddc52c8b68ef49d6b00fe0395,1393998996,,,60,5,5,5,1,0.6606496413992182,true,9.0,6738919.0,106.0,34.0,false,12.0,1274108.8,20.0,1.0,6.0,749.0,754.0,6.0,749.0,754.0,6.0,744.0,749.0,0.0009315943571998936,0.09914825658770296,0.09981368112856004
0044a90a7409c5b004cc2d0cc56f6afeaf54ccf9,1409533251,,,45,3,6,5,1,0.7875447319230593,true,6.0,6657471.0,59.0,21.0,false,49.0,2213113.166666666,118.0,4.0,27.0,3202.0,3216.0,27.0,2330.0,2344.0,15.0,3061.0,3064.0,0.0019947637451689314,0.3817479117317043,0.38212192993392347
006fea117307460544492a3548203a9ef31f34ba,1326777632,,,14,24,3,3,1,0.9491574737790924,true,1.0,47765.0,5.0,3.0,false,19.0,248387.33333333328,37.0,3.0,1.0,158.0,158.0,1.0,158.0,158.0,1.0,152.0,152.0,0.0036496350364963507,0.2791970802919708,0.2791970802919708
00a162c4d42a0f7813058d2ae5c3208b4f7a3157,1401242572,0.0,,825,87,9,4,2,0.6445250153718692,true,22.0,3442893.0,108.0,19.0,false,36.0,4772791.0,94.0,1.0,7.0,566.0,569.0,7.0,460.0,463.0,7.0,561.0,564.0,0.008032128514056224,0.5642570281124498,0.5672690763052208
00a4f63f373af0b87c9c4ba8671720bb8324c80a,1339674144,,,2,3,1,1,1,0.0,true,1.0,-33217270.0,8.0,4.0,false,4.0,553804.0,4.0,3.0,17.0,64.0,68.0,17.0,62.0,66.0,16.0,50.0,53.0,0.16346153846153846,0.4903846153846154,0.5192307692307693
00dd97c7e9a852f4abd6e8460a0d094c01d3d0ba,1347205765,1.0,,103,56,5,4,1,0.5744830134591838,true,3.0,-25781966.0,21.0,7.0,false,21.0,298129.8,69.0,2.0,42.0,217.0,231.0,42.0,217.0,231.0,40.0,209.0,222.0,0.128125,0.65625,0.696875
00f66513690153125713fa4c48907387d8321b4a,1360076041,,,26,3,3,3,1,0.7101828628164149,true,2.0,139953.0,9.0,2.0,false,76.0,18826.0,239.0,2.0,265.0,1512.0,1692.0,244.0,1343.0,1507.0,228.0,1308.0,1458.0,0.06083953241232731,0.3477683315621679,0.3876195536663125
00ff9367f25d34ea43aceb40a6146d8d53e5c06f,1379572499,,,10,2,2,2,1,0.9798687566511528,true,9.0,17524287.0,54.0,19.0,false,23.0,241535.0,46.0,2.0,8.0,303.0,307.0,8.0,230.0,234.0,5.0,170.0,171.0,0.00625,0.178125,0.17916666666666667
010bd1f392e67a6fcd276593b8c79acfe41d1cc7,1378720692,3.0,,111,16,2,2,1,0.9762101424373009,true,12.0,17838304.0,77.0,37.0,false,5.0,1058616.5,6.0,5.0,97.0,1220.0,1223.0,66.0,1097.0,1100.0,7.0,273.0,273.0,0.026578073089701,0.9102990033222592,0.9102990033222592
010e9dbd124060a6f75722aa146fde0f3ff69ab7,1397253143,,,22,37,4,2,1,0.5465499306763263,true,9.0,457430.0,64.0,15.0,false,48.0,940849.75,202.0,4.0,1200.0,3933.0,4482.0,995.0,2977.0,3417.0,1181.0,3503.0,4037.0,0.15167457975105866,0.4496342871808033,0.5181573206723983
